,,,地方行財政,,,,,,,,,,,,,,,,,,,,,,,,
,,,歳出 - 1人当たり（目的別）,,,,,,,,,,,,,,,,,,,,,,,,
No,都道府県,年度,中学校費 - 1人当たり（目的別）（都道府県財政）【千円】,住宅費 - 1人当たり（目的別）（都道府県財政）【千円】,児童福祉費 - 1人当たり（目的別）（都道府県財政）【千円】,公債費 - 1人当たり（目的別）（都道府県財政）【千円】,労働費 - 1人当たり（目的別）（都道府県財政）【千円】,商工費 - 1人当たり（目的別）（都道府県財政）【千円】,土木費 - 1人当たり（目的別）（都道府県財政）【千円】,小学校費 - 1人当たり（目的別）（都道府県財政）【千円】,教育費 - 1人当たり（目的別）（都道府県財政）【千円】,歳出決算総額 - 1人当たり（目的別）（都道府県財政）【千円】,民生費 - 1人当たり（目的別）（都道府県財政）【千円】,消防費 - 1人当たり（目的別）（都道府県財政）【千円】,災害復旧費 - 1人当たり（目的別）（都道府県財政）【千円】,災害救助費 - 1人当たり（目的別）（都道府県財政）【千円】,生活保護費 - 1人当たり（目的別）（都道府県財政）【千円】,社会福祉費 - 1人当たり（目的別）（都道府県財政）【千円】,総務費 - 1人当たり（目的別）（都道府県財政）【千円】,老人福祉費 - 1人当たり（目的別）（都道府県財政）【千円】,衛生費 - 1人当たり（目的別）（都道府県財政）【千円】,警察費 - 1人当たり（目的別）（都道府県財政）【千円】,議会費 - 1人当たり（目的別）（都道府県財政）【千円】,農林水産業費 - 1人当たり（目的別）（都道府県財政）【千円】,道路橋りょう費 - 1人当たり（目的別）（都道府県財政）【千円】,都市計画費 - 1人当たり（目的別）（都道府県財政）【千円】,高等学校費 - 1人当たり（目的別）（都道府県財政）【千円】
66,東京都,1991,13.337,26.080,9.696,30.308,2.547,30.192,153.695,23.635,81.973,565.492,34.018,18.798,0.339,0.289,1.086,11.630,54.327,11.317,34.339,44.658,0.480,2.274,13.790,97.777,16.998
67,東京都,1992,13.463,31.045,10.323,27.939,5.722,32.152,164.267,24.231,84.715,584.858,36.816,18.977,0.239,0.125,1.091,12.678,55.317,12.600,37.281,47.280,0.503,2.380,16.177,102.910,17.886
68,東京都,1993,13.488,31.992,10.191,29.341,5.892,30.935,160.396,24.725,86.485,592.978,37.700,19.778,0.197,0.118,1.139,12.154,52.210,14.098,48.204,49.886,0.503,2.474,14.765,100.972,18.620
69,東京都,1994,13.704,31.118,11.079,33.450,3.243,33.033,139.237,25.349,87.916,566.907,43.029,21.246,0.044,0.061,1.286,14.532,44.897,16.071,39.724,51.003,0.519,2.168,14.543,81.155,18.615
70,東京都,1995,13.992,30.383,11.511,36.843,3.405,40.443,141.080,25.923,90.127,595.230,44.157,20.312,0.109,0.046,1.327,13.604,50.598,17.669,39.807,52.120,0.551,2.180,15.061,82.879,19.873
71,東京都,1996,14.135,28.379,11.950,42.637,2.937,31.463,123.159,25.968,88.596,588.041,45.632,19.982,0.179,0.017,1.339,14.193,59.026,18.133,47.185,51.666,0.552,2.232,14.929,68.020,18.155
72,東京都,1997,14.119,25.668,12.192,44.358,2.665,31.055,107.540,25.922,86.884,545.405,46.796,19.829,0.129,0.007,1.393,14.262,34.828,18.943,43.459,51.961,0.534,2.025,13.170,57.949,17.274
73,東京都,1998,13.874,26.015,12.527,46.358,2.250,34.322,103.793,25.692,83.371,550.599,47.989,19.347,0.210,0.006,1.437,14.378,36.621,19.642,38.170,51.777,0.528,1.879,13.373,53.625,15.705
74,東京都,1999,13.672,22.070,12.458,45.332,3.836,30.294,106.433,25.496,82.008,542.083,48.271,18.922,0.095,0.003,1.396,14.031,38.117,20.383,35.269,51.063,0.498,1.901,11.954,61.831,15.326
75,東京都,2000,13.070,17.842,13.609,59.259,2.694,26.203,87.598,24.477,77.988,532.802,46.692,18.064,0.996,0.053,1.708,11.455,48.111,19.865,17.426,49.774,0.471,1.527,10.508,50.211,14.317
76,東京都,2001,13.038,16.795,13.945,54.001,4.205,24.581,78.330,24.366,77.325,511.581,47.484,18.020,1.978,0.017,1.721,11.287,41.873,20.514,16.805,49.176,0.466,1.644,10.372,42.512,14.137
77,東京都,2002,13.023,13.283,13.586,56.124,2.743,22.750,79.457,24.348,75.562,490.160,44.056,18.096,1.524,0.038,1.843,10.345,38.270,18.243,16.213,49.281,0.460,1.631,9.381,49.591,13.390
78,東京都,2003,12.558,11.553,11.741,53.409,1.957,22.645,77.701,23.468,73.893,495.466,41.121,17.459,1.517,0.005,1.909,10.023,54.959,17.443,15.558,48.385,0.434,1.473,9.765,49.248,12.775
79,東京都,2004,12.512,10.259,11.225,57.679,2.008,27.740,71.534,23.346,72.910,493.629,40.725,17.376,1.105,0.235,2.007,9.661,49.305,17.598,14.410,48.015,0.427,1.445,9.761,44.901,12.361
80,東京都,2005,12.353,9.441,11.488,57.498,1.694,17.490,73.433,22.927,71.159,494.586,43.084,17.169,0.971,0.084,1.937,13.443,55.861,16.132,15.047,47.416,0.427,1.309,9.396,48.122,12.275
81,東京都,2006,12.170,11.482,12.130,76.001,1.292,17.011,71.389,22.474,70.963,512.945,45.704,16.830,0.459,0.021,1.945,15.481,52.521,16.127,14.445,47.315,0.418,1.681,8.756,43.792,11.817
82,東京都,2007,12.028,12.516,11.390,58.781,1.227,18.342,73.848,22.011,71.584,537.180,58.754,16.900,0.310,0.075,1.899,30.090,67.405,15.300,17.627,47.448,0.413,1.456,9.511,44.749,11.734
83,東京都,2008,11.715,12.993,13.020,63.412,2.478,27.376,74.585,21.331,69.835,532.742,55.044,16.880,0.346,0.099,1.920,23.631,58.892,16.375,15.496,47.832,0.424,1.401,7.840,46.595,10.721
84,東京都,2009,11.302,12.371,13.579,51.952,4.102,27.155,74.458,20.767,69.137,502.024,57.138,16.516,0.250,0.096,2.065,19.869,48.131,21.529,17.813,47.280,0.420,1.441,8.927,45.529,10.680
85,東京都,2010,11.117,11.437,14.862,42.542,3.387,23.047,66.261,20.461,70.248,456.881,55.613,16.336,0.140,0.158,2.394,18.619,27.264,19.580,17.717,46.441,0.414,1.470,8.198,39.871,10.620
86,東京都,2011,11.060,12.715,15.888,40.121,3.361,25.715,64.140,20.397,71.498,460.658,61.250,16.555,0.100,1.051,2.671,20.300,25.404,21.340,18.197,45.798,0.435,1.522,8.188,36.207,10.921
87,東京都,2012,11.015,8.024,16.593,39.674,3.204,23.359,61.557,20.394,70.624,456.673,62.968,16.491,0.102,0.103,2.524,20.584,27.364,23.164,16.695,44.937,0.417,1.413,8.632,37.710,10.746
88,東京都,2013,10.950,8.647,16.079,41.163,2.301,24.846,61.865,20.150,70.331,466.334,61.545,16.435,0.187,0.253,2.556,21.011,34.691,21.647,16.797,44.202,0.414,1.404,8.464,37.111,10.359
