目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
"１８．町丁，男女別人口及び世帯数（平成27年,対令和2年比較）",,,,,,,,,,,,,,（各年10月1日現在）
,平成27年,,,,令和2年,,,,,世帯数・人口増減（平成27年～令和2年）,,,,
町丁別,世帯数,人口,,,世帯数,人口,,,人口密度,世帯数,人口増減,,,人口増減率
,,総数,男,女,,総数,男,女,（1k㎡当たり）,増減,総数,男,女,（％）
大和町二丁目,1984,3226,1715,1511,1990,3204,1713,1491,21360,6,-22,-2,-20,-0.6819590824550525
大和町三丁目,2250,3542,1844,1698,2316,3703,1946,1757,24687,66,161,102,59,4.545454545454541
大和町四丁目,1997,3767,1941,1826,2093,3872,1958,1914,18438,96,105,17,88,2.7873639500929137
若宮総数,7646,12868,6501,6367,7858,12997,6499,6498,19399,212,129,-2,131,1.0024867889337985
若宮一丁目,2501,4081,2104,1977,2592,4101,2093,2008,21584,91,20,-11,31,0.4900759617740835
若宮二丁目,2246,4031,2062,1969,2290,4115,2085,2030,19595,44,84,23,61,2.0838501612503
若宮三丁目,2899,4756,2335,2421,2976,4781,2321,2460,17707,77,25,-14,39,0.5256518082422224
白鷺総数,5911,11371,5401,5970,6327,12174,5778,6396,19635,416,803,377,426,7.061823938088119
白鷺一丁目,2091,4083,1903,2180,2217,4505,2093,2412,20477,126,422,190,232,10.33553759490571
白鷺二丁目,2198,4164,1995,2169,2360,4409,2100,2309,20041,162,245,105,140,5.883765609990399
白鷺三丁目,1622,3124,1503,1621,1750,3260,1585,1675,18111,128,136,82,54,4.35339308578746
鷺宮総数,9467,16782,8301,8481,10061,17400,8485,8915,20000,594,618,184,434,3.682516982481232
鷺宮一丁目,1684,2679,1345,1334,1736,2713,1332,1381,20869,52,34,-13,47,1.269130272489738
鷺宮二丁目,876,1486,723,763,832,1462,724,738,16244,-44,-24,1,-25,-1.6150740242261152
鷺宮三丁目,2135,3579,1801,1778,2499,3968,1949,2019,22044,364,389,148,241,10.86895780944397
鷺宮四丁目,1814,3085,1521,1564,1983,3370,1628,1742,16850,169,285,107,178,9.238249594813608
鷺宮五丁目,1200,2416,1206,1210,1207,2416,1185,1231,21964,7,0,-21,21,0
鷺宮六丁目,1758,3537,1705,1832,1804,3471,1667,1804,21694,46,-66,-38,-28,-1.8659881255301047
上鷺宮総数,6559,13844,6643,7201,6758,14238,6807,7431,15646,199,394,164,230,2.8459982663969985
上鷺宮一丁目,1149,2284,1128,1156,1276,2548,1269,1279,18200,127,264,141,123,11.558669001751309
上鷺宮二丁目,1328,2783,1365,1418,1384,2904,1404,1500,13829,56,121,39,82,4.347826086956519
上鷺宮三丁目,1152,2538,1181,1357,1161,2588,1193,1395,18486,9,50,12,38,1.970055161544515
上鷺宮四丁目,1256,2485,1162,1323,1244,2436,1134,1302,17400,-12,-49,-28,-21,-1.9718309859154903
上鷺宮五丁目,1674,3754,1807,1947,1693,3762,1807,1955,13436,19,8,0,8,0.21310602024506853
資料　総務省統計局「平成27年国勢調査人口等基本集計」「令和2年国勢調査人口等基本集計」,,,,,,,,,,,,,,
　　　　,,,,,,,,,,,,,,
