"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","都道府県","市区町村","連絡先_電話番号_","URL","備考","GIS用住所","経度","緯度","分類"
"131148","131148000066","東京都中野区","新井東町会","アライヒガシチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000067","東京都中野区","新井西町会","アライニシチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000068","東京都中野区","新井南町会","アライミナミチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000069","東京都中野区","新井北町会","アライキタチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000070","東京都中野区","新井中町会","アライナカチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000071","東京都中野区","沼袋町会","ヌマブクロチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000072","東京都中野区","沼袋親和会","ヌマブクロシンワカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000073","東京都中野区","江古田四丁目町会","エコダヨンチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000074","東京都中野区","松が丘片山町会","マツガオカカタヤマチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000075","東京都中野区","江古田一丁目町会","エコダイッチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000076","東京都中野区","江原町町会","エハラチョウチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000077","東京都中野区","旭公民館町会","アサヒコウミンカンチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000078","東京都中野区","江古田住宅自治会","エコダジュウタクジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000079","東京都中野区","丸山町会","マルヤマチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000080","東京都中野区","野方北町会","ノガタキタチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000081","東京都中野区","野方南自治会","ノガタミナミジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000082","東京都中野区","野方南自治会","ノガタミナミジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000083","東京都中野区","野方一丁目南町会","ノガタイッチョウメミナミチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000084","東京都中野区","野方東町会","ノガタヒガシチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000085","東京都中野区","野方二丁目町会","ノガタニチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000086","東京都中野区","大和町東町会","ヤマトチョウヒガシチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000087","東京都中野区","大和町西部自治会","ヤマトチョウセイブジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000088","東京都中野区","大和町北協和会","ヤマトチョウキタキョウワカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000089","東京都中野区","大和町中町会","ヤマトチョウナカチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000090","東京都中野区","大和町一和町会","ヤマトチョウイチワチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000091","東京都中野区","若宮一丁目町会","ワカミヤイッチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000092","東京都中野区","鷺宮都営住宅自治会","サギノミヤトエイジュウタクジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000093","東京都中野区","若宮三丁目町会","ワカミヤサンチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000094","東京都中野区","鷺宮都営住宅自治会","サギノミヤトエイジュウタクジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000095","東京都中野区","白鷺町会","シラサギチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000096","東京都中野区","鷺宮三丁目町会","サギノミヤサンチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000097","東京都中野区","鷺宮四丁目町会","サギノミヤヨンチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000098","東京都中野区","鷺宮六丁目南部町会","サギノミヤロクチョウメナンブチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000099","東京都中野区","白鷺三丁目町会","シラサギサンチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000100","東京都中野区","若宮三丁目アパート自治会","ワカミヤサンチョウメアパートジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000101","東京都中野区","都営白鷺一丁目第４アパート自治会","トエイシラサギイッチョウメダイヨンアパートジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000102","東京都中野区","鷺宮六丁目町会","サギノミヤロクチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000103","東京都中野区","都営大和町四丁目アパート自治会","トエイヤマトチョウヨンチョウメアパートジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000104","東京都中野区","鷺宮西住宅自治会","サギノミヤニシジュウタクジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000105","東京都中野区","都営白鷺１丁目第２アパート自治会","トエイシラサギイッチョウメダイニアパートジチカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000106","東京都中野区","北鷺町会","キタサギチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000107","東京都中野区","上鷺宮四丁目町会","カミサギノミヤヨンチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
"131148","131148000108","東京都中野区","上鷺宮五丁目町会","カミサギノミヤゴチョウメチョウカイ","東京都","中野区","","","","中野区中野4-11-19","139.662904755454","35.7096225942072","町会_自治会一覧"
